Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Twitch Broven,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Ty Willowbrook,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Sharran Novice Tylda,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,24.0m,75.0kg,320,Main Hand Attack,Mace,,FALSE,,,,,Church of Shar,
Tylman Sands,,,Humanoid,Human,,,Male,Medium,9.0m,,35.0kg,1,,,,FALSE,,,,,,
Tym Armbrust,,,Humanoid,Human,,,Male,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,Talli (wife)Ayo (son),,
Uktar,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,The Guild,Guild Bursar
Ul’mirel,,,Humanoid,Githyanki,,,Female,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,Crèche Y'llek,
Duke Ulder Ravengard,,,Humanoid,Human,Fighter,Battle Master,Male,Medium,9.0m,,75.0kg,510,"Commander's Strike,Fire Shield,Lacerate,Pommel Strike,Rush Attack",,,FALSE,,,,Wyll (son),Flaming Fist,Supreme Marshall of the Flaming Fist
Fist Ulinn,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,250,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Ulkov Sully,,,Humanoid,Human,,,,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Ulma,,,Humanoid,Human,Barbarian,,Female,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Prepare,Rage,Reckless Attack",The Undead Bane,,FALSE,,,,,The Gur,Gur Leader
Black Gauntlet Ulova,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,400,"Aura of Terror,Command: Grovel,Command: Halt,Concussive Smash,Dominate Person,Guiding Bolt,Main Hand Attack",Mace +2,,FALSE,,,,,Cult of Bane,
Fist Ulthred,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,90,"Disarming Attack (Melee),Lacerate,Main Hand Attack,Pommel Strike,Pushing Attack (Melee),Rush Attack",Longsword,,FALSE,,,,,Flaming Fist,
Ulumpha,,,Humanoid,Half-orc,Paladin,,Female,Medium,9.0m,18.0m,100.0kg,250,"Aid,Backbreaker,Bane,Branding Smite,Concussive Smash,Main Hand Attack,Searing Smite,Weakening Strike,Wrathful Smite",Warhammer,,FALSE,,,,,Dead Eyes,Member of the Dead Eyes
Umbrenne,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Umi,,,Humanoid,Tiefling,,,Male,Small,9.0m,12.0m,25.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Gish Umr'a'ac,,,Humanoid,Githyanki,Fighter,Eldritch Knight,Male,Medium,9.0m,,75.0kg,75,"Bestow Curse: Attack Disadvantage,Blindness,Burning Hands,Hold Person,Lacerate,Main Hand Attack,Misty Step,Pommel Strike,Ray of Frost,Rush Attack,Shocking Grasp",Githyanki Longsword,,FALSE,,,,,Crèche Y'llek,
Raider Un’n,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,75,"Ranged Attack,Misty Step,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Unclean Eternal Debtor,,,Humanoid,Human,,,Male,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Guard Unilda Tiro,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Main Hand Attack,Phantasmal Killer,Spirit Guardians (Necrotic)",Mace,,FALSE,,,,,Cult of Bane,
Untaken,,,Humanoid,Human,,,,Medium,10.0m,10.0m,75.0kg,10,"Create Water,Ice Knife,Lacerate,Main Hand Attack",Sickle,,FALSE,,,,,Church of Umberlee,
Sharran Fidelian Uttermask,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,24.0m,75.0kg,320,"Beckoning Darkness,Bone Chill,Darkness,Shadow Step",,,FALSE,,,,,Church of Shar,
Black Gauntlet Uva,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Main Hand Attack,Phantasmal Killer,Spirit Guardians (Necrotic)",Infernal Mace,,FALSE,,,,,Cult of Bane,
Reaper of Bhaal Vagga,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,250,"Main Hand Attack,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Valmorba,,,Humanoid,Half-elf,Cleric,,Female,Medium,9.0m,12.0m,75.0kg,250,"Maiming Strike,Main Hand Attack,Piercing Strike,Shield of Faith,Weakening Strike",War Pick,,FALSE,,,,,,
Vanra,,,Humanoid,Human,,,Female,Small,1.0m,,25.0kg,1,,,,FALSE,,,,Lora Bergauz (Mother)Tim Twofingers (Uncle),,
Varanna Sunblossom,,,Humanoid,Half-elf,Fighter,,Female,Medium,11.0m,,75.0kg,1,,,,FALSE,,,,,,
Varce Humbletood,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Varderola,,,Humanoid,Human,Rogue,,Female,Medium,9.0m,,75.0kg,400,Sneak Attack (Melee),,,FALSE,,,,,,
Reaper of Bhaal Varneela,,,Humanoid,Human,,,,Medium,9.0m,30.0m,75.0kg,400,"Ranged Attack,Main Hand Attack,Shroud Self","Heavy Crossbow,Murderous Cut",,FALSE,,,,,Cult of Bhaal,
Fist Varone,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,250,"Blight,Counterspell,Fire Bolt,Main Hand Attack,Melf's Acid Arrow,Slow,Topple",Quarterstaff,,FALSE,,,,,Flaming Fist,
Youth Varrl,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,,
Vatas,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Reaper of Bhaal Velki,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,400,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Velson Oakes,,,Humanoid,Wood elf,,,Male,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Ver'yll Wenkiir,,,Humanoid,Drow,Ranger,,Male,Medium,9.0m,,75.0kg,,,,,FALSE,,,,,,
Zephyr Gish'ra Verik,,,Humanoid,Githyanki,Monk,Way of the Four Elements,Female,Medium,13.5m,,75.0kg,200,"Clench of the North Wind,Fist of Unbroken Air,Flurry of Blows,Step of the Wind: Dash,Unarmed Strike (Monk)",,,FALSE,,,,,Warriors of the Comet,
Goblin,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,8,,,,FALSE,,,,,Cult of the Absolute,
Verryn,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Veteran Gish,,,Humanoid,Githyanki,,,,Medium,9.0m,9.0m,75.0kg,9,"Astral Step,Blindness,Burning Hands,Counterspell,Hold Person,Misty Step,Ray of Frost,Shocking Grasp",,,FALSE,,,,,,
Githyanki Veteran Raider,,,Humanoid,Githyanki,,,,Medium,9.0m,9.0m,75.0kg,9,"Misty Step,Ranged Attack,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,,
Githyanki Veteran Warrior,,,Humanoid,Githyanki,,,,Medium,9.0m,9.0m,75.0kg,9,"Disarming Attack (Melee),Enhance Leap,Main Hand Attack,Second Wind",Githyanki Greatsword,,FALSE,,,,,,
Brawler Vez,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,75,"Flourish,Lacerate,Main Hand Attack,Throw,Throw,Throw Stone",Goblin Scimitar,"Smokepowder Bomb, Alchemist's Fire",FALSE,,,,,Cult of the Absolute,
Bully Gal Vharranne,,,Humanoid,Human,Ranger,,Female,Medium,9.0m,,75.0kg,250,"Ranged Attack,Main Hand Attack","Longbow,Dagger",,FALSE,,,,,,
Tailor Vhynce,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,8,,,,FALSE,,,,,,
Victoria,,,Humanoid,Human,,,Female,,9.0m,,25.0kg,1,,,,FALSE,,,,Leon Onufrio (father),,
Manip Vidor,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,90,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Flaming Fist,
Cashguard Basher Vikki,,,Humanoid,Human,Paladin,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack,Lay on Hands: Greater Healing,Blinding Smite,Divine Smite","Hand Crossbow,Maul",,FALSE,,,,,,
Vilhelm,,,Humanoid,Human,Rogue,,Male,Medium,9.0m,,75.0kg,400,Sneak Attack (Melee),,,FALSE,,,,,,
Dark Breaker Vilmina,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,250,"Chromatic Orb: Cold,Conjure Elemental: Water Elemental,Disarming Strike,Ice Knife,Main Hand Attack,Piercing Strike,Rush Attack,Thunderwave",Trident,,FALSE,,,,Norya Baker (partner),Church of Umberlee,
Vin Dorgo,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Vinegaroon,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Night Blade Vinnia,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,250,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Cult of Bhaal,
Vinshent Fenteman,,,Humanoid,Elf,,,Male,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Fist Virry,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Youth Vis’kiir,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Crèche Y'llek,
Visionary Eternal Debtor,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Viss,,,Humanoid,Dwarf,,,Male,Medium,7.5m,24.0m,75.0kg,75,"Maiming Strike,Main Hand Attack,Piercing Strike,Weakening Strike",War Pick,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Vistra,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Roustabout Vix,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Circus of the Last Days,
Ch'r'ai W'wargaz,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,320,"Cleave,Lacerate,Main Hand Attack,Mindsteal Link,Mindsteal Tempest,Misty Step,Pommel Strike",Githyanki Greatsword,,TRUE,,,,,Crèche Y'llek,Inquisitor of Vlaakith
Orpheus,,,Humanoid,Githyanki,,,,Medium,15.0m,12.0m,12.0kg,12,"Greater Invisibility,Sanctuary,Dimension Door,Telekinesis,Globe of Invulnerability,Misty Step,Enhance Leap,Stunning Strike (Unarmed),Stunning Strike (Melee),Harmony of Fire and Water,Fist of Unbroken Air,Flurry of Blows,Unarmed Strike,Flames of the Phoenix,Levitate (Illithid Power),Tentacle Whip (Full-illithid),Potent Concentrated Blast,Mind Blast,Extract Brain,Mind Sanctuary,Strengthened Force Tunnel,Augmented Shield of Thralls,Nebulous Black Hole,Synaptic Consumption,Fierce Perilous Stakes,Fracture Psyche,Displacer Beast Shape,Stage Fright,Transfuse Health,Psionic Overload,Karsus' Compulsion",,,FALSE,,,,⁠Gith (mother),,The Prince of the Comet
Illithid Orpheus,,,Aberration,Mind Flayer,,,,Medium,15.0m,12.0m,12.0kg,12,"Greater Invisibility,Sanctuary,Dimension Door,Telekinesis,Globe of Invulnerability,Misty Step,Enhance Leap,Stunning Strike (Unarmed),Stunning Strike (Melee),Harmony of Fire and Water,Fist of Unbroken Air,Flurry of Blows,Unarmed Strike,Flames of the Phoenix,Levitate (Illithid Power),Tentacle Whip (Full-illithid),Potent Concentrated Blast,Mind Blast,Extract Brain,Mind Sanctuary,Strengthened Force Tunnel,Augmented Shield of Thralls,Nebulous Black Hole,Synaptic Consumption,Fierce Perilous Stakes,Fracture Psyche,Displacer Beast Shape,Stage Fright,Transfuse Health,Psionic Overload,Karsus' Compulsion",,,FALSE,,,,,,
Kith'rak Voss,,,Humanoid,Githyanki,Fighter,,Male,Medium,9.0m,,75.0kg,400,"Action Surge,Astral Step,Blur,Lacerate,Main Hand Attack,Pommel Strike,Rush Attack,Wrathful Smite",Voss' Silver Sword,,FALSE,,,,,,
Guard Vlomina,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,250,"Concussive Smash,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Menacing Attack (Melee)","Hand Crossbow,Mace",,FALSE,,,,,Cult of Bane,
Vol,,,Humanoid,Human,Barbarian,Wildheart,Female,Medium,9.0m,,75.0kg,40,"Inciting Howl,Lacerate,Main Hand Attack,Pommel Strike,Rage: Wolf Heart,Reckless Attack,Rush Attack",Longsword,,FALSE,,,,,Zhentarim,
Fist of Bane Volgu Drak,,,Humanoid,Human,Cleric,,Male,,9.0m,,75.0kg,250,"Concussive Smash,Main Hand Attack,Menacing Attack (Melee)",Infernal Mace (Uncommon),,FALSE,,,,,Cult of Bane,
Volo,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,"Colour Spray,Grease,Magic Missile",,,FALSE,,,,,,"Procurer of Associates, Stories, and Curios"
Voss' Raider,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,75,"Ranged Attack,Misty Step,Rally,Trip Attack (Ranged)",Light Crossbow,,FALSE,,,,,,
Voyeur Eternal Debtor,,,Humanoid,Gnome,,,,Small,7.5m,12.0m,35.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Ardent Vraalsith,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Misty Step,Piercing Strike,Psychic Rend",Githyanki Shortsword,,FALSE,,,,,Crèche Y'llek,
Butcher Vrak,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,20,"Action Surge,Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",Cleaver,,FALSE,,,,,Cult of the Absolute,
Vrindula Mardassus,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Warrior Vu’un,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Waldemar Prinski,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,10,,,,FALSE,,,,,Cult of Bane,
Waldo Walnut,,,Humanoid,Gnome,,,Male,Small,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Waltzing Eternal Debtor,,,Humanoid,Tiefling,,,,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Wanda Tullermoor,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,250,"Conjure Elemental: Water Elemental,Counterspell,Ice Storm,Invisibility,Main Hand Attack,Piercing Strike,Ray of Frost",Dagger,,FALSE,,,,,,
Githyanki Warrior,,,Humanoid,Githyanki,,,,Medium,5.0m,5.0m,75.0kg,5,"Disarming Attack (Melee),Main Hand Attack,Second Wind",Githyanki Greatsword,,FALSE,,,,,,
Warryn,,,Humanoid,Gnome,Rogue,,Male,Small,7.5m,12.0m,35.0kg,15,"Main Hand Attack,Piercing Strike,Hamstring Shot,Ranged Attack,Sneak Attack (Melee),Sneak Attack (Ranged)","Shortbow,Dagger",,FALSE,,,,,Overgrown Ruin Looters,
Devout Wasp,,,Humanoid,Goblin,Cleric,,Male,Small,9.0m,12.0m,35.0kg,20,"Bless,Concussive Smash,Cure Wounds,Main Hand Attack,Sacred Flame",Crude Mace,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Watcher Guardian,,,Humanoid,Half-Orc or Gold Dwarf or Tiefling,Fighter,,,Medium,9.0m,12.0m,75.0kg,250,"Cleave,Main Hand Attack,Pommel Strike,Rush Attack",Greatsword,,FALSE,,,,,The Watch,
Fist Wayne,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Spear,Javelin",,FALSE,,,,,Flaming Fist,
Fist Wearne,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Ranged),Piercing Shot,Ranged Attack,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Welso,,,Humanoid,Gnome,,,Male,Small,7.5m,24.0m,35.0kg,75,,,,FALSE,,,,Meerna (sister),Clan Ironhand,
Wendel Ashgrove,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Brawler Weneg,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,110,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Flaming Fist Wexford,,,Humanoid,Dwarf,,,Female,Medium,7.5m,,75.0kg,40,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Flaming Fist,
Wicky,,,Humanoid,Gnome,,,Male,Small,7.5m,24.0m,35.0kg,75,,,,FALSE,,,,,Clan Ironhand,
Griefguard Wilbur,,,Humanoid,Human,,,Male,Medium,9.0m,24.0m,30.0kg,135,"Concussive Smash,Main Hand Attack",Mace,,FALSE,,,,,Church of Shar,
Fist Williams,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Willinx Jindlebee,,,Humanoid,Human,Wizard,Evocation School,Female,Medium,9.0m,,75.0kg,140,"Bone Chill,Concussive Smash,Fireball,Incubate Death,Main Hand Attack,Misty Step,Tenacity,Weakening Strike,Shield",Myrkulite Scourge,,FALSE,,,,,Cult of Myrkul,Mistress of Souls
Willow,,,Humanoid,Human,,,Female,Medium,9.0m,,25.0kg,,,,,FALSE,,,,,,
Wilting Alex,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Brawler Wim,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,110,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,
Winslow Reginol,,,Humanoid,Dragonborn,,,Male,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,,,
Winstra Hullhollyn,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Peil Hullhollyn (husband)Sybil Hullhollyn,,Lady of Baldur's Gate
Tracker Worm,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,15,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Wren,,,Humanoid,Halfling,Druid,,Male,Small,7.5m,,35.0kg,75,"Concussive Smash,Lunar Mend,Main Hand Attack,Tenacity,Wild Shape: Bear",Greatclub,,FALSE,,,,,Shadow Druids,
Wrilda Gemfinder,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Wrint Sprigley,,,Humanoid,Gnome,,,Male,Small,7.5m,24.0m,35.0kg,1,,,,FALSE,,,,,,
Wulbren Bongle,,,Humanoid,Gnome,Fighter,,Male,Small,7.5m,12.0m,35.0kg,140,"Lacerate,Pommel Strike,Rush Attack,Throw Stone",,,FALSE,,,,"Antunio Bongle (father, deceased)",Clan Ironhand,Leader of Clan Ironhand
Guard Wulf,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Rush Attack,Voice of Command","Hand Crossbow,Spear",,FALSE,,,,,Cult of Bane,
Wuloona Dor,,,Humanoid,Dwarf,,,Female,Medium,7.5m,,75.0kg,1,,,,FALSE,,,,,,
Wyll,,,Humanoid,Human,Warlock,The Fiend,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,"Ulder Ravengard (father)Francesca Ravengard (mother, deceased)",,The Blade of FrontiersThe Blade of Avernus
Wynn Freshwater,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Pale Corpse,,,Humanoid,Drow,Wizard,,Male,Medium,9.0m,16.0m,75.0kg,4,,,,FALSE,,,,,,
Xeph,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,Unarmed Strike,,,FALSE,,,,,Tiefling refugees,
Warrior Xon’ar’as,,,Humanoid,Githyanki,,,Male,Medium,5.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Enhance Leap,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Sister Yannis,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,200,"Cure Wounds,Sacred Flame",,,FALSE,,,,,Church of Ilmater,
Yeller Dawg,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Yerle,,,Humanoid,Half-elf,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,"Flourish,Main Hand Attack,Mobile Shot,Piercing Shot,Piercing Strike,Ranged Attack","Hand Crossbow,Shortsword",,FALSE,,,,,Zhentarim,
Yerle (Act 2),,,Humanoid,Half-elf,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,"Flourish,Main Hand Attack,Mobile Shot,Piercing Shot,Piercing Strike,Ranged Attack","Hand Crossbow,Shortsword",,FALSE,,,,,Zhentarim,
Gauntlet Yeva,,,Humanoid,Human,Fighter,Battle Master,Female,Medium,9.0m,,75.0kg,90,"Disarming Attack (Melee),Main Hand Attack,Menacing Attack (Melee),Riposte,Trip Attack (Melee)",Svartlebee's Woundseeker,,FALSE,,,,,Flaming Fist,
Yimuir,,,Humanoid,Human,,,Male,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Harper Yonas,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Harpers,
Yonks,,,Humanoid,Gnome,,,Male,Small,7.5m,9.0m,75.0kg,,,,,FALSE,,,,,,
Cashguard Yonni,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Iron Consul Underbite Yoonce,,,Humanoid,Half-orc,Fighter,,,Medium,9.0m,18.0m,100.0kg,320,"Main Hand Attack,Ranged Attack,Voice of Command,Goading Attack (Melee)","Hand Crossbow,Spear +1",,FALSE,,,,,Cult of Bane,
Githyanki Youth,,,Humanoid,Githyanki,,,,Medium,3.0m,3.0m,75.0kg,3,,,,FALSE,,,,,Githyanki (Faction),
Warrior Yr’rk,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Enhance Leap,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Yul,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,4,,,,FALSE,,,,Gara (parent),Tiefling refugees,
Yves,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Gish Yy’rul,,,Humanoid,Githyanki,Fighter,Eldritch Knight,Female,Medium,9.0m,,75.0kg,75,"Bestow Curse,Blindness,Burning Hands,Cleave,Hold Person,Main Hand Attack,Misty Step,Pommel Strike,Ray of Frost,Rush Attack,Shocking Grasp",Githyanki Longsword,,FALSE,,,,,Crèche Y'llek,
Disciple Z'rell,,,Humanoid,Half-orc,Warlock,The Fiend,Female,Medium,9.0m,18.0m,100.0kg,200,"Black Hole,Cone of Cold,Counterspell,Eldritch Blast,Lacerate,Main Hand Attack,Mirror Image",Handaxe +1,,TRUE,,,,,Cult of the Absolute,
Za'krug,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,50,"Main Hand Attack,Reckless Warcry",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,Goblin Boss
Zae,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Zaki,,,Humanoid,Tiefling,,,Male,Small,9.0m,12.0m,25.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Sharp-Eye Zami,,,Humanoid,Goblin,Ranger,,Female,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Fist of Bane Zana Hade,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Ranged Attack,Menacing Attack (Melee)","Hand Crossbow,Mace +1",,FALSE,,,,,Cult of Bane,
Gondian Zanner Toobin,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,250,"Aid,Blur,Misty Step,Shocking Grasp",,,FALSE,,,,Obelia Toobin (daughter),Church of Gond,
Youth Zar’a’ath,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Piercing Strike",Shortsword,,FALSE,,,,,Crèche Y'llek,
Raider Zar’an,,,Humanoid,Githyanki,,,Female,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Ranged Attack,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Zarys,,,Humanoid,Human,Ranger,,Female,Medium,9.0m,,75.0kg,40,"Brace (Ranged),Cure Wounds,Ensnaring Strike (Ranged),Hamstring Shot,Main Hand Attack,Ranged Attack,Sneak Attack (Melee),Sneak Attack (Ranged),Throw",Longbow,Alchemist's Fire,FALSE,,,,,Zhentarim,
Untaken Zastreya,,,Humanoid,Human,,,,Medium,10.0m,,75.0kg,250,"Create Water,Ice Knife,Lacerate,Main Hand Attack",Sickle,,FALSE,,,,,Church of Umberlee,
Raider Zastri,,,Humanoid,Githyanki,Fighter,,,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Rally,Ranged Attack,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,,
